Const,male,age,I(age^2),vaccine08,True.Const,True.male,True.age,True.I(age^2),True.vaccine08,HTE.cover1,HTE.cover2,HTE.truecover
0.11886067,0.032001099,0.009793937,-0.000146149,0.11715866,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.013311924,0.19240639,0.012968243,-0.000195714,0.265962531,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.172322678,0.0074175,0.004489136,-6.18E-05,0.133549249,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.019826629,0.040663481,0.011053577,-0.000130168,0.151911824,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.038285388,0.01458422,0.010238519,-0.000125299,0.081748864,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.134001615,0.052764577,0.010706477,-0.000200588,0.16645105,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.080924983,-0.017064714,0.010029661,-0.000143862,0.120597972,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.010497428,-0.038769384,0.020187253,-0.000295126,0.161291595,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.107845283,-0.073895014,0.011992648,-0.000183625,0.200141784,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.096703531,0.116539968,0.009242221,-0.000158222,0.24922959,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.132089592,-0.056029786,0.006283046,-8.12E-05,0.265389028,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.081418783,0.052991452,0.010722943,-0.000168523,0.208136566,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.131297795,0.072558609,0.004835662,-9.05E-05,0.230779733,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.034467763,-0.039470831,0.016032015,-0.000225248,0.263190478,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.144495453,0.113207517,0.002909426,-3.38E-05,0.086141432,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.036848284,0.071661488,0.010507678,-0.000135907,0.061751143,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.027107264,0.018870342,0.015768928,-0.00024389,0.115442949,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.240199186,0.015794285,0.001666009,-3.91E-05,0.256018577,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.0293816,0.039603271,0.017207056,-0.000231661,0.158407659,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.05467656,-0.049451706,0.012672594,-0.000180081,0.226498989,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.103266625,0.071530013,0.011015458,-0.000182891,0.167769344,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.023937681,0.069627111,0.014253232,-0.000183711,0.064126048,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.08229792,0.163605127,0.007251138,-0.000124483,0.126065372,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.002797563,0.110831665,0.015582142,-0.000212705,0.174891558,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.056145701,0.087023462,0.021656035,-0.000314005,0.133071978,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
